NOB ORIGINAL	SME_Finland	komm	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU	
helsetjenestetilbud	dearvvašvuođabálvalusaid fállu					terveyspalvelujen tarjonta	dearvvasvuođabálvalusaid fállu	dearvvašvuođabálvalusat	dearvvašvuođabálvalusaid fállan	dearvvašvuođabálvalusfálaldat	dearvvašvuođabálvalusaid fálaldat	
helsepedagogikk	dearvvašvuođapedagogihkka					terveyspedagogiikka	healsapedagogihkka	dearvvašvuođapedagogihkka	dearvvašvuođapedagogihkka	dearvvašvuođapedagogihkka	dearvvašvuođapedagogihkka	
helseressurs	dearvvašvuođaresurssa					terveysresurssi terveyttä koskeva voimavara	healsaresursa healssa #girjet fápmoráđđi	dearvvašvuođaresursa	dearvvašvuođaresursa dearvvašvuođaresursa	dearvvašvuođaresursa	dearvvašvuođaresursa dearvvašvuođa várás	
helserisiko	dearvvašvuođariska					terveysriski	healsariska	dearvvašvuođavárra	dearvvašvuođavárra	dearvvašvuođavárra	dearvvašvuođavára	
helsevane	dearvvašvuođadáhpi					terveystapa	healsadáhpi	dearvvašvuođa dábit	dearvvašvuođa dábit	dearvvašvuođavierru	dearvvasvuođadábálaš	
helsesjekk	dearvvašvuođadárkkistus					terveystarkastus	healsadárkkistus	dearvvašvuođadárkkisteapmi	dearvvašvuođadárkkisteapmi	dearvvašvuođadárkkisteapmi	dearvvašvuođadutkan	
helseopplysning	dearvvašvuođadiehtu					terveystieto	healsadiehtu	dearvvašvuođadieđut	Dearvvašvuođadieđut	dearvvašvuođadieđut	dearvvašvuođadiehtu	
helseinformatikk	dearvvašvuođa informatihkka	£				terveystietojenkäsittelytiede		dearvvašvuođainformatihkka	dearvvašvuođainformatihkka	dearvvašvuođainformatihkka	dearvvašvuođadieđuid gieđahallanfága	
helseresultat	dearvvašvuođaboađus					terveystulos	healsaboađus	dearvvašvuođaboađus	Dearvvašvuođaboađus	dearvvašvuođa boađus	dearvvašvuođaboađus	
helseutfall	dearvvašvuođaváikkuhus					terveysvaikutus	healsaváikkuhus	dearvvašvuođabohtosat	dearvvašvuođaváikkuhus	dearvvašvuođadáhpáhus	dearvvašvuođaváikkuhus	
testmåltid	teastamális	£				testiateria	teastamális	geahččalanborramuš	geahččalanborramuš	geahččalanáigi	geahččaleapmi	
drypp	TIA-dohppehallan					TIA-kohtaus	aivojen iskeeminen kohtaus	gahččan	TIA-oassi	dušši	TIA-ášši	
vitenskapstradisjon	dieđalaš árbevierru	£				tiedetraditio, tiedeperinne	dieđaárbevierru	dieđalaš árbevierru	dieđalaš árbevierru	dieđalaš árbevierru	diehtetradišuvdna	
kunnskapsvurdering	máhttoárvvostallan	£				tiedon arviointi	dieđu evalueren	máhttoárvvoštallan	máhttoárvvoštallan	máhtolašvuođaárvvoštallan	dieđu árvvoštallan	
kunnskapskomponent	máhttooassi	£				tiedon komponentti, tiedon osa	dieđu elemeanta	máhttooassi	máhtu elemeanta	máhtolašvuođa oassi	dieđu elemeanta	
kunnskapsbegrep	máhtu doaba	£				tiedon käsite	dieđu doaba	máhtolašvuođa doahpagat	máhtu doahpagat	máhtto-doaba	dieđu doaba	
kunnskapsform	máhtu hápmi	£				tiedon laji	dieđu genre	máhtu hápmi	dieđuid šládja	máhtolašvuođa hápmi	dieđu šládja	
kunnskapspyramide	máhttopyramida	£				tiedon pyramidi 	dieđu pyramiida 	máhttopyramida	máhtu pyramida	máhttopyramida	diehtopyramida 	
kunnskapsinteresse	máhttoberoštupmi	£				tiedonintressi		máhttoberoštupmi	beroštupmi dieđuide	máhtolašvuođa beroštupmi	diehtoreakšuvdna	
bevisstgjøring	diđolašvuođa lokten					tietoisuuden lisääminen	#diđolaš dahkat	diđolašvuođa lokten	fuomášuhttit	dihtomielalažžan dahkan	diđolažžan dahkan	
datasamling	dieđuid čoaggin					tietojen keruu	dieđuid 	dieđuid čoaggin	dieđuid čoaggin	dihtorčoahkkádus	dieđuid čoaggin	
kurveføring						tietojen kirjaaminen	dieđuid 	kurvarávven	diehtologgen	jorgguheapmi	dieđuid girjen	
datainnsamling						tietojenkeruu		dieđuid čoaggin	dieđuid čoaggin	dieđuid čohkken	dieđuid čohkken	
volumendring						tilavuuden muutos	#daddjásvuohta iežáhus	jietnadási rievdan	rievdan jietnadásis	jietnadatnuppástus	volumena	
dråpeteller						tipanlaskija		gahččan	lohkki	goaivunlogut	tipanrehkenastin	
oppvaskmiddel	lihttebassanávnnas					tiskiaine		bassat čáhci	bassat čáhci	lihttebassanrusttet	bassanávdnas	
realitetssans	duođalašvuođadovdu					todellisuudentaju	duođalašvuođaipmárdus	duohtavuođadovdu	duohtavuođadovdu	duohtavuođaáddejupmi	duohtavuođaáddejupmi	
realitetssjokk	duođalašvuohtašohkka					todellisuusshokki  realiteettishokki	#duođalašvuohtašohkka 	duohtavuođašohkka	duohtavuođašohkka duohtavuođašohkka	duohtavuođa suorggaheapmi	duohtavuođa šuokŋa duohtavuođa šuokŋa	
doktorgradsutdanning	doavttirskuvlejupmi					tohtorikoulutus		doavttirgrádaoahppu	doavttirgrádaoahppu	doavttergrádaoahppu	doavttergrádaoahppu	
doktorgradsprogram	doavttirprográmma	£				tohtoriohjelma		doavttirgrádaprográmma	doavttirgrádaprográmma	doavttergrádaprográmma	doavttergrádastipeanda	
iverksetting	doaimmaheapmi					toimeenpaneminen		ollašuhttin	ollašuhttin	álggaheapmi	ollašuhttin	
prosedyreverktøy				prosedyrareaidu		toimenpiteiden hakutyökalu	doaibmabijuid ohcanreaidu	prosedyrareaiddut	prosedyraid ohcanreaidun	áššemeannudanreaidu	ohcanreaidu doaibmabijuide	
funksjonsvurdering	doaibmaárvvoštallan			funkšuvdnaárvvoštallan		toiminnan arviointi	doaimma evalueren	doaibmaárvvoštallan	doaibmaárvvoštallan	doaibmaárvvoštallan	doaimma árvvoštallan	
handlingsrefleksjon	doaibmareflekšuvdna			doaibmareflekšuvdna		toiminnan reflektointi	doaimma 	doaibmareflekšuvdna	doaibmareflekšuvdna	daguidreflekšuvdna	reflekšuvdna doaimmain	
funksjonsforstyrrelse	doaibmaváddu			doaibmanuosehuhttin	funkšuvdnamuosehuhttin	toimintahäiriö	doaibmasegohus	doaibmaváttut	váilevašvuohta	doaimmashehttejupmi	lámisolmmoš	
handlingsforløp	doaibmaviđji			doaibmamannolat		toimintaketju	doaibmaviđji	doaibmabidju	doaibmaráidu	doaibmabidju	doaibmaguovlu	
funksjonsdyktighet	doaibmannákca			funkšuvdnamáhttu		toimintakyky	doaibmagálga	doaibmi dáidu	čájáhus	doaibmanfriddjavuohta	doaibmanákca	
funksjonsundersøkelse	doaibmannávccadutkamuš			funkšuvdnaiskkadeapmi		toimintakyvyn tutkimus	doaibmagálgga dutkan	doaibmaiskkadeapmi	doaibmakapasitehta dutkan	doaibmaguorahallan	doaibmannávccaid iskkadeapmi	
funksjonstap				funkšuvdnamassin		toimintakyvyn vaje	doaibmagálgga 	doaibmama jávkan	doaibmaváilevašvuohta	doaimmashehttejupmi	doaibmannávccaid váilun	
funksjonsbegrensning	doaibmaráddjehus			funkšuvdnahehttehus		toimintarajoite	doaibmaráddjen	doaibmaráddjehus	doaibmaráddjehus	doaibmahehttejupmi	doaimmashehttejupmi	
habiliteringstjeneste		£		habiliterenbálvalus		toimintarajoitteisen lapsen kuntoutus	*toimintarajoitteisen máná veajuiduhttin	hárjehallanbálvalus	doaibmahehttejuvvon máná rehabiliteren	habiliterenbálvalus	doaimmashehttejuvvon máná veajuiduhttin	
handlingsrepertoar		£		doaibmarepertoára		toimintarepertuaari		akšuvdnarepertuára	akšuvdnarepertuára	doaibmarepertoár	doaibmarepertoára	
handlingsregel	doaibmanjuolggadus			doaibmanjuolggadus		toimintasääntö	doaibmanjuolggadus	doaibmanjuolggadus	doaibmanjuolggadus	doaibmanjuolggadus	doaibmanjuolggadus	
handlingsmønster	doaibmavuohki			doaibmaminsttár		toimintatapa	doaibmadáhpi	doaibmamálle	doaibmavuohki	doaibmanmálle	bargovuohki	
handlingsvalg	doaibavuogi válljen			doaibmaválljen		toimintatavan valinta	doaibmadábi válljen	doaibmaválljen	doaibmavuogi válljen	daguid válljen	modusmolssaeaktu	
ergoterapeut	ergoterapevta			ergoterapevta		toimintaterapeutti	doaibmaterapevta	ergoterapevta	ergoterapevta	ergoterapevta	doaibmaterapevta	
handlingsalternativ	doaibmamolssaeaktu			doaibmamolssaeaktu		toimintavaihtoehto	doaibmamolssaeaktu	doaibmaválljenvejolašvuohta	doaibmaválljenvejolašvuohta	molssaeaktu	lea doaibmabidju	
handlingsberedskap	doaibagearggusvuohta		doaibmaválmmašvuohta	doaibmagearggusvuohta		toimintavalmius	doaibmaválmmašvuohta	gearggusvuohta doaibmabijuide	doaibmagearggusvuohta	gearggusvuohta doaibmat	doaibmanfriddjavuohta	
handlingsklokskap	doaibmaviisodat			doaibmaviisodat		toimintaviisaus	doaibmaviisodat	doaibmaviissisvuohta	doaibmaviissisvuohta	dáhpáhusskierru	doaibman- viisodat	
restitusjon	áhtan		buorraneapmi	restitušuvdna		toipuminen		buhtadus	buorráneapmi	resttušuvdna	veajuiduhttin	
reinnleggelse						uudelleen sairaalan sisäänkirjoittautuminen	#dáhpáhuvvat 	fas sisaváldin	fas buohccivissui sisačáliheapmi	ođđasisčáliheapmi	dát dábálaš buohcceviesu divššu??	
ønskekost	doaivvaborramuš				heivehuvvon borrámuš	toiveruoka	doaivvagušta	sávaldat	sávvat biepmu	dáhtu biebmu	doaivoborran	
transperson	transolmmoš			transolmmoš		transhenkilö		transolmmoš	transolmmoš	transolmmoš	transolmmoš	
transfett	transbuoidi			transbuoidi		transrasva		transfeahtta	transfeahtta	transfáhta	transolmmoš	
transseksualisme		£		transseksualisma		transseksualismi		transseksuálavuohta	transseksuálavuohta	transseksuálavuohta	transseksuálavuohta	
transkjønn	transsohkabealli			transsohkabealli		transsukupuoli		transolmmoš	transolmmoš	transsohkabealli	transsohkabealli	
traume	trauma			trauma		trauma	trauma	trauma	trauma	trauma	trauma	
understøtte	doarjut			doarjut		tukea	duvdit	doarjja	doarjja	dorjojuvvon	doarjja	
støttehåndtak	doarjjageavja			dorjengeavja		tukikahva	duvddauksageavja	doarjjagieđahallan	doarjjagieđahallan	doarjjagiehtat	čottanjálgu	
støttekondom		£		bajasdoallankondoma		tukikondomi	duvddakondoma	doarjjo kondoma	doarjjo kondoma	dorjjasteaddji kondoma	oktasaš kondoma	
understøttelsesflate 		£		doarjjavuođđu		tukipinta	duvddaaláš	doarjjavuođu	doarjjavuođu	doarjjaguovlu 	doarjjabáiki	
kompresjonsbind	komprešuvdnačanas			komprešuvdnačanas		tukiside	duvddačanas	kompressiijabihttá	doarjjabihttá	komprimerenbáddi	doarjjaortnet	
kompresjonsstrømpe	komprešuvdnasuohkku			komprešuvdnasuohkku		tukisukka 	duvddasuohkku 	kompressiijasuohku	doarjjasuohku	komprimerenstealli	čottanjálgu 	
støtteverktøy	doarjjareaidu			doarjjareaiddut		tukityökalu	duvddareaidu	doarjjareaiddut	doarjjareaidun	doarjja	doarjjaortnet	
støtteverktøy				doarjjareaiddut		tukiväline	#duvdda#gaskoapmi	doarjjareaiddut	tukiväline	doarjja	doarjjaortnet	
betennelsesprosess	vuolšeproseassa			vuolšeproseassa		tulehdusprosessi	vuolšeproseassa	buozalmasvuođaproseassa	buozalmasvuođaproseassa	vuolšši proseassa	infekšuvdnamálle	
betennelsesreaksjon	vuolšereakšuvdna			vuolšereakšuvdna		tulehdusreaktio	vuolšereakšuvdna	buozalmasvuođareakšuvdna	buozalmasvuođareakšuvdna	vuolšši-reakšuvdna	infekšuvdna	
inflammasjonsreaksjon	vuolšereakšuvdna			inflammašuvdnareakšuvdna		tulehdusreaktio	vuolšereakšuvdna	buozalmasvuođareakšuvdna	buozalmasvuođareakšuvdna	vuolšši reakšuvdna	infekšuvdna	
betennelsessykdom	vuolšebuozalmasvuohta			vuolšedávda		tulehdussairaus	vuolšebuohcu	buozalmasvuohta	buozalmasvuohta	vuolšeskibasvuohta	infekšuvdnadávda	
betennelsestilstand	vuolšedilli			vuolšedilálašvuohta		tulehdustila	ei bakteerin aiheuttama, esim. rasitusvamma	buozalmasvuohta	buozalmas dilli	vuolšši	infekšuvdna	vuolšedilli
infeksjonstilstand	vuolšedilli			infekšuvdnadilli		tulehdustila  infektiotila	vuolšedilli infekšuvdnadilli  	njoammuma dilli	täuletstila infectiontila	infekšuvdnadilli	infekšuvdnadilli	
penetrere				penetreret		tunkeutua sisään	läpäistä	gahččat	tunkeutua in	penetrárat	seahkáneapmi	*tunkeutua sisa
følelsesmodus	dovdodilli			dovdduidmodus		tunnetila	dovdodilli	dovdomearka	tunnetila	dovdomodus	dovdduid dilli	
følelsesuttrykk				dovdduid čájeheapmi		tunteenilmaisu	#dovdudajahus	dovdduid ovdanbuktin	emošuvnnalaš čehppodat	dovdduid ovdanbuktin	dovdduid čájeheapmi	
stolvekt	stuolloveakta			stuolloveakta		tuolivaaka	stovlaveakta	stuolu deaddu	tuolivaaka	stuolluid deaddu	stuolluid láigi	
varedeklarasjon	buvttačilgehus		sisdoallučilgehus	buvttadeklarašuvdna		tuoteseloste		gálvojulggaštus	tuotsel-oastta	várrehus	buvttačilgehus	
turistdiaré	turistaluhčadávda			mátkošteaddjilužohat		turistiripuli	turistalužas	turisttaid čalbmeváttut	turistiripuli	turistabivttas	turistabivdu	
trygghetsalarm				oadjebasvuođalárbma		turvahälytin		sihkarvuođaalárbma	johtolatváruhus	oadjebasvuođalárbma	sihkkarvuođalárbma	
trygghetopplevelse	dorvvolašvuođa vásáhus			oadjebasvuođa vásáhus		turvallisuuden kokemus	sihkarvuođa vásihus	sihkarvuođavásáhus	sihkarvuođavásáhus	dorvvolašvuođadovdu	oadjebasvuođa vásáhus	
sikkerhetsteknologi	dorvvolašvuohtateknologiija			sihkkarvuođateknologiija		turvallisuusteknologia	#sihkarvuohtateknologiija	sihkarvuođateknologiija	sihkarvuođateknologiija	sihkkarvuođateknologiija	sihkkarvuođateknologiija	
ødemvæske				ødemačáhci		turvokuksen aiheuttama nestekertymä		ødema čáhci	turvokuksen eksma nestertymä	duolvačáhci	golggosbuđaldeapmi mii dagaha golggosbuđaldeami	
ødem				ødema		ödeema		buozalmasvuohta	turvotus	duolva	duolva	
forskningsområde	dutkansuorgi			dutkansuorgi		tutkimusala	dutkansuorgi	dutkanguovlu	dutkanfáddá	dutkansuorgi		
forskningsartikkel	dutkanartihkal			dutkanartihkal		tutkimusartikkeli	dutkanartihkal	dutkanartihkal	dutkanartihkal	dutkanartihkal	dutkanartihkal	
forskningslitteratur	dutkangirjjálašvuohta			dutkangirjjálašvuohta		tutkimuskirjallisuus	dutkangirjjálašvuohta	dutkangirjjálašvuohta	tutkimuskirjalisuus	dutkangirjjálašvuohta	dutkangirjjálašvuohta	
forskningsmetode	dutkanvuohki			dutkanmetoda	dutkanvuohki	tutkimusmenetelmä	dutkanmannolat	dutkanvuohki	dutkanvuohki	dutkanmetoda	dutkanvuohki	
undersøkelsesmetode				iskanvuohki		tutkimusmenetelmä  tutkimusmetodi	dutkanmannolat dutkanmetoda  	jearahallanvuohki	tutkimusmetödi tutkimusmetödi	iskanvuohki	dutkanvuohki	
omgangskrets	oahppásat					tuttavapiiri	oahpesbiire	sosiála biras	tuttavapiiri	johtingierdu	oahpes sadji	
tubespiss	tubageahči	£		tubabuncci		tuubin kärki	*tuubin geahči	čuovgačuovga	tubin kärki	riebana báddi	guorbmebivttas	
tømming	gurren			gurren		tyhjennys		buhtistit	guoros reaiddu	gurren	buhtisteapmi	
tømmingsplage	gurrenváttu			gurrenváttisvuohta		tyhjennysvaiva		vajálduhttit váttuid	thägjennysvaiva	gurrenváttisvuohta	gurrenváttisvuohta	
tømmingsmønster	gurrenvuohki			gurrenminsttar		tyhjentymiskäytäntö	guorranit geavat	buhtisvuođamálle	geavahus	gurrenminsttar	gurrenvuohki	
tapping				gurren		tyhjentäminen	poisvaluttaminen	buvttadeapmi	buhtistit	deaddostallan	gurren	gurret
tømmingsvanske	gurren váttisvuohta			gurrenhástalus		tyhjentämishäiriö	gurret segohus	heaittiheami váttisvuohta	täghentämisääärää	gurrenváttisvuohta	buhtistanheađuštus	
tømmingsvane	gurrendáhpi			gurrendáhpi		tyhjentämistapa	gurret dáhpi	hilgut dábit	thägentämistapa	golahanvierru	vuohki gurret áššiid	
nitrogen	nitrogena			nitrogena		typpi		nitrogena	typi	nitrogena	nitrogen	
tilfredsstillelse	duhtadeapmi			duhtadeapmi		tyydyttyminen		duhtadeapmi	tyydytytymin	duhtadeapmi	duhtadeapmi	
arbeidsantrekk	bargobivttas			bargobivttas		työasu	bargogárvu	bargobiktasat	työasu	bargohivvodat	bargobivttas	
arbeidskapasitet	bargokapasiteahtta			bargokapasiteahtta		työkapasiteetti	#bargu#kapasitehtta	bargonávccat	bargonávccat	bargonávccalašvuohta	bargoveahka	
arbeidshverdag	bargoárgabeaivi			bargoárgabeaivi		työn arki	barggu árga	bargobeaivi	bargoarkiiva	beaivválaš bargu	barggu árga	
arbeidskår	bargodilli			bargodilli		työolosuhteet	bargoeksisteansagorit	bargodilit	bargodilit	bargodilli	bargoeavttut	
arbeidsrutine	bargorutiidna			bargorutiidna		työrutiini	bargorutiidna	bargorutiinna	bargorutiinna	bargovuohki	bargorutiidna	
stillingsvern						työsuhdeturva	bargogorredorvu	bargosihkkarvuohta	työshuheturva	virgesuodjalus	bargoveahkadoarjja	
arbeidslys	bargočuovga					työvalo	bargočuovga	bargočuovga	bargoárvu	bargočuovggas	bargoláhttu	
fyllende	dievasmahtti					täydentävä	#dievasmahttit	deavdin	täkkäävä	deavdi		
utånding	olggosvuogŋan					uloshengitys		vuoiŋŋasteapmi	uloshengitys	vuoiŋŋasteapmi	olggos- vuoiŋŋasteapmi	
utåndingsluft	olggosvuogŋaáibmu					uloshengitysilma		vuoiŋŋastan luftta	uloshengitysilma	vuoigŋanáibmu	olggos-luoitima áibmu	
utskrivelse		£				uloskirjoitus		bidjat eret	heaittiheapmi	olggosčáliheapmi	olggosčáliheapmi	
utskriving						uloskirjoitus		prentehus	heaittiheapmi	olggosčáliheapmi	olggosčáliheapmi	
avføringstrang						ulostamisen tarve	*ulostamisen dárbu	njuoratmánná	ulostamen tarve	baikkálas streaŋga	olggosčáliheami dárbu	
tømmingstrang						ulostamistarve		buhtistit linjá	ulostastalaš árbi	gurrenstreaŋga	olggosčáliheapmi	
ekskrement	baika					uloste	luhča	ekskremeanta	ooze	erenoamáš	olggosbohcci	
avføringslekkasje						ulosteen karkaamineN	 ulosteinkontinenssi	čáhcebohcci	ulosteen karkaamineN	baikkálas golggadeapmi	olggosčáliheapmiN	luža lovpet
avføringsinkontinens	baikainkontineansa					ulosteinkontinenssi	ulosteen pidätyskyvyttömyys	čáhceinkontinensa	hilgut inkontinensa	baikkálmas bissovašvuohta	ekskrešuvdnaoktagas	luhčainkontineansa
avføringsinkontinens						ulosteinkontinenssi ulosteen pidätyskyvyttömyys ulosteen karkailu	luhčainkontineansa luža *pidätyskyvyttömyys luža 	čáhceinkontinensa	ulosteincontinessi ulosteen hýtutyskyvytmoyos ulosteen karkailu	baikkálmas bissovašvuohta	vuoššangierdu, go vuoššangierdu ii nagot darvvihit vuoššaid	
avføringsrest		£				ulostejäämä		čáhcebohcci	ulostejäämä	bázahus olggosduolvamis	ekskrešuvdna	
avføringskart						ulosteluokitus	luhčaluohkkájuohku	stoaltakárta	uloste klassifiseren	ekskuršuvdnakárta	olggosluohkká	
avføringsklump						ulostemöykky		njuoratmánná	ulostemöykky	baikkačoallu	olggoslođat	
avføringsprøve	baikačánájas					ulostenäyte	luhčačájánas	njuoratmánná ovdamearka	ulostenäyte	olggosčáliheapmi	olggosčájáhus	
avføringsproblem	baikaváttisvuohta					ulostusongelma		čáhceváttisvuohta	ulotus-váttisvuohta	baikkaváttisvuohta	olggosčálihanváttisvuohta	
avføringsrefleks	baikarefleksa					ulostusrefleksi		njuoskkadanrefleksa	ulostus refleksa	ekskrešuvdnarrefleksa	olggosrefleksa	
tømmingsrefleks	baikarefleksa					ulostusrefleksi		vuoiŋŋastanrefleksa	ulostus refleksa	golggosrefleksa	olggosrefleksa	
ultralydapparat	ultrajietnamašiidna					ultraäänilaite		ultrajietnarusttet	ultraäänilaite	Ultra-jietnasoabbi	Ultra-jietnasoabbi	
ultralydmaskin	ultrajietnamašiidna					ultraäänilaite		ultrajietnamašiidna	ultraäänilaite	Ultra-jietnasoabbi	Ultra-jietnasoabbi	
blindtarmsbetennelse	obbalággávuolši					umpilisäketulehdus		čalbmebuohcuvuohta	umpilisäketälühs	čalmmečoalggevuolši	guoppar vuolledábiin	
blindtarmbetennelse	obbalággávuolši					umpilisäkkeen tulehdus	*umpilisäkkeen vuolši	čalbmebuohcuvuohta	umpilisäkkeen täulet	čiegusčoallebávččas	vuolši šliettasčoavjjis	
søvnkvalitet	nahkárakvalitehta					unen laatu	nahkára dássu	oađđinkvalitehta	unen lautu	oađđindássi	niehku kvalitehta	
søvnmengde	nahkára mearri					unen määrä	nahkára #mearri	oađđinmearri	mihtu haga	oađđindássi	muohttaga niehku	
søvnlengde	nahkára guhkkodat					unen pituus	nahkára guhkkodat	guhkkodat	oađđin guhkkodat	oađđinguhkkodat	oađđima guhkkodat	
søvnmangel	nahkára váilevašvuohta					unen puute	nahkára váilevuohta	váilevaš čuoigan	váilevaš čuoigan	oađđinváttisvuohta	oađđinbealli	
søvnrestriksjon		£				unen rajoittaminen	nahkára ráddjet	oađđinráddjehus	ráddjet čuoigan	oađđindárkkisteapmi	ráddjen oađđimis	
søvnregistrering		£				unen rekisteröinti	nahkára logahallan	čuoigangovven	čuoiganregistreren	oađđinregistreren	niehku registreren	
søvnfase	nahkára muddu					unen vaihe	nahkára muddu	čuoiganfása	unnivuođa dássi	oađđinmuttu	oađđindáhpáhus	
søvnstadium	nahkára muddu					unen vaihe	nahkára muddu	čuoigandássi	unnivuođa dássi	oađđindássi	oađđindáhpáhus	
søvnbehov	nahkára dárbu					unentarve	nahkáradárbu	dárbu oađđit	dárbu čuoigat	oađđindárbu	dakkár niehkovuohki	
søvnhygiene	nagirhygiena					unihygienia	nagirbuhtisindoallan	čuoiganhygiena	čuoiganhygiena	oađđindiggi	oađđinsoabbi	
søvnperiode	nagiroassi					unijakso	nagiroassi	oađđináigodat	čuoigansyklus	oađđináigodat	oađđindáhpáhus	
søvnsyklus	nagiroassi					unijakso	nagiroassi	čuoigansyklus	čuoigansyklus	oađđinsyklus	oađđindáhpáhus	
søvndagbok	nagirbeiaivegirji					unipäiväkirja	nagirbeaivegirji	idjadanbeaivegirji	idjadanbeaivegirji	sotnabeaivegirji	niegadanbeaivegirji	
søvnrutine	nagirrutiidna					unirutiini	nagirrutiidna	idjadanrutiinna	idjadanrutiinna	oađđindábálaš	oađđindábálaš	
søvnmønster	nagirritma					unirytmi	nagirritma	čuoiganmálle	čuoiganritma	oađđinminsttar	oađđindovdomearka	
søvnsykdom		£				unisairaus	nagirbuohcu	oađđinbuohcuvuohta	oađđinbuohcuvuohta	oađđindávda	oađđindáhpáhus	
søvnighet						unisuus		unnivuohta	unnivuohta	oađđindovdu	oađđádat	
søvnsyklus						unisykli		čuoigansyklus	čuoigansyklus	oađđinsyklus	oađđenseahkka	
søvnvane	nagirdáhpi					unitapa	nagirdáhpi	oađđindábit	čuoiganmálle	oađđindábálaš	unitapa	
søvnplage	oađđinváttisvuohta		nagirhehttehus			univaikeus	nagirváttisvuohta	oađđinváttut	váttisvuohta oađđit	oađđindilli	oađđinveara	
søvnvanske						univaikeus	nagirváttisvuohta	váttisvuohta oađđit	váttisvuohta oađđit	oađđinváttisvuohta	oađđinveara	
søvnunderskudd	nagirvátni					univaje		čuoiganvátnivuohta	oađđinváttisvuohta	oađđinváilevašvuohta	oađđinveara	
kompetansestige	karriearaovdáneapmi					urapolku  urakehitys	gurraluodda gurraahtanuššan  	gelbbolašvuođadássi	karrierajohtolat karrieraovdáneapmi	gealbobálggis	karriearabagadallan	
idrettskonkurranse	falástallangilvvohallan					urheilukilpailu	valáštallangilvu	valáštallangilvu	valáštallangilvu	faláštallangilvu	faláštallangilvu	
utmattelse	šliitanupmi					uupumus		váibmováttut	váibasat	váiban	áibbas váivi	
ekstrakt	cohkodat					uute		čájánas	čájánas	olggosfievrrideapmi		
skummateriale	soktaplástihkkaávnnas					vaahtomuoviaine	soarpaplastihkkaávnnas	skummaávnnas	skummaávnnas	foađđamateriála	ráppi vuođđu	
skummadrass	soktaplástihkkabolsttar					vaahtomuovipatja	soarpaplastihkkaguoddá	skummádrássa	skummádrássa	vuoššanroahti	ráppi vuoiddadanbivttas	
skumgummipute	soktaplástihkkaguoddá					vaahtomuovityyny	soarpaplastihkkaguoddá	skumpáhkka	skumpáhkka	gummegámašolga	ráppi vuoiddadan bátti	
avvikshendelse	várredilli					vaaratilanne	várredilli	sierranas dáhpáhus	váralaš dilli	spiehkastat	váralaš dilli	
vaginisme						vaginismi	emätinkouristus	vaginismus	vaginismus	vaginisma	vaginisma	
avvikshåndtering	bártedieđahusa dahkat					vahinkoilmoituksen tekeminen	vahátalmmuhusa dahkat	sierranasvuođa hálddašeapmi	dahkat vahátdieđáhusa	spiehkastatgieđahallan	vahátilmmuhus	
avviksskjema	bártedieđahusskovvi					vahinkoilmoituslomake	vahátalmmuhusskovvi	sierranas hápmi	vahágiid dieđihanskovvi	spiehkastatskovvi	vahátdieđáhusa skovvi	
skifting		£				vaihto	muutos	sirdin	lonohallan	molsuma birra	lonohallan	#molsuheapmi
vekseltrykk	molsašuvvan deaddu					vaihtuva paine	#molsašuvvat deaddu	rievddadeaddji čáhci	rievddadeaddji deaddu	molssodatriekkis	molsašuddi deatta	
virkemåte	doaibmavuohki					vaikutustapa	váikkuhusa	doaibmavuohki	doaibmavuohki	váikkuhusvuohki	váikkuhus	
bleiesensor						vaipan kosteusindikaattori 	lihpara lávttasindikáhtor 	njuoratmánnásensor	čáhci muohttaga indikáhtor	liidnegákti	ahte liidni lea vuoigŋan	
taushetsbestemmelse						vaitiolopäätös		luohtehahttivuođacealkámuš	mearrádus hilgut	jávohisvuođamearrádus	jávohisvuođa gáibádus	
umyndiggjøring						vajaavaltaiseksi julistaminen	*vajaavaltaiseksi almmustit	fámuhisvuohta	váilevašvuođajulggaštus	heivemeahttunvuohta	vátnivuođa julggašteapmi	
alvorlighetsgrad	duođalašvuohtadássi					vakavuusaste	#duođalašvuohta#ráđđa	duođalašvuohta	garravuođa dássi	duođalaš dássi	duođalašvuođadássi	
proteinreserve	proteiidnahearbevárri					valkuaisainevaranto proteiinivaranto		proteiidnavárrehus	proteiidnavárrehus proteiidnavárrehus	proteiinnareserve	proteiinnaresursa, ja dat lea proteiinnaresursa	
maktbruk	váldegeavahus					vallankäyttö	#váldiatnin	fámu geavaheapmi	fámu geavaheapmi	fápmogeavaheapmi	válddi geavaheapmi	
arterie	váibmosuotna					valtimo	váibmosuotna	varra	varra	arteriija	arteriija	váibmosuotna
arterietermometer	váibmosuotnatermomehter					valtimolämpömittari		arteriijatermomehter	arteriijatermomehter	arteriálatermomettar	arteroliekkasmihttár	
åreforkalkning	aterosklerosa					valtimonkovettumatauti	ateroskleroosi	aterosklerosa	aterosklerosa	varrasuonjardeapmi	vuollevulošdávda	
arteriesykdom	váibmosuotnadávda					valtimosairaus	váibmosuotnabuohcu	varrasuotnadávda	varrasuotnadávda	arteriijadávda	vearredávda	
arterieblod	váibmosuotnavarra					valtimoveri	váibmosuotnavarra	arteriála varra	arteriála varra	arteriijvardin	arteruvdna	
